slug,first_time,cur_month,index,comments,amounts
AlmaLinux,2021-02-27,2021-03,1,0.0,1.0
AlmaLinux,2021-02-27,2021-04,2,0.0,2.0
AlmaLinux,,NaT,3,0.0,0.0
AlmaLinux,2021-02-27,2021-06,4,0.0,6.0
AlmaLinux,,NaT,5,0.0,0.0
AlmaLinux,2021-02-27,2021-08,6,2.0,1.0
alovajs,,NaT,0,0.0,0.0
alovajs,,NaT,1,0.0,0.0
alovajs,,NaT,2,0.0,0.0
alovajs,2023-04-13,2023-07,3,2.0,1.0
alovajs,,NaT,4,0.0,0.0
alovajs,,NaT,5,0.0,0.0
alovajs,,NaT,6,0.0,0.0
Alovoa,2023-10-01,2023-10,0,11.0,1.0
Alovoa,2023-10-01,2023-11,1,0.0,2.0
Alovoa,2023-10-01,2023-12,2,1.0,9.0
Alovoa,2023-10-01,2024-01,3,0.0,1.0
Alovoa,,NaT,4,0.0,0.0
Alovoa,,NaT,5,0.0,0.0
Alovoa,,NaT,6,0.0,0.0
stefansundin,2021-08-27,2021-08,0,0.0,1.0
stefansundin,2021-08-27,2021-09,1,4.0,3.0
stefansundin,,NaT,2,0.0,0.0
stefansundin,,NaT,3,0.0,0.0
stefansundin,,NaT,4,0.0,0.0
stefansundin,,NaT,5,0.0,0.0
stefansundin,,NaT,6,0.0,0.0
amethyst,,NaT,0,0.0,0.0
amethyst,,NaT,1,0.0,0.0
amethyst,,NaT,2,0.0,0.0
amethyst,,NaT,3,0.0,0.0
amethyst,,NaT,4,0.0,0.0
amethyst,,NaT,5,0.0,0.0
amethyst,,NaT,6,0.0,0.0
Amog-OS,2023-08-23,2023-08,0,2.0,1.0
Amog-OS,2023-08-23,2023-09,1,3.0,1.0
Amog-OS,,NaT,2,0.0,0.0
Amog-OS,,NaT,3,0.0,0.0
Amog-OS,,NaT,4,0.0,0.0
Amog-OS,,NaT,5,0.0,0.0
Amog-OS,,NaT,6,0.0,0.0
serversideup,,NaT,0,0.0,0.0
serversideup,,NaT,1,0.0,0.0
serversideup,2022-03-10,2022-05,2,0.0,2.0
serversideup,2022-03-10,2022-06,3,1.0,2.0
serversideup,2022-03-10,2022-07,4,1.0,11.0
serversideup,,NaT,5,0.0,0.0
serversideup,2022-03-10,2022-09,6,0.0,2.0
amuzil,2022-12-12,2022-12,0,4.0,3.0
amuzil,,NaT,1,0.0,0.0
amuzil,,NaT,2,0.0,0.0
amuzil,,NaT,3,0.0,0.0
amuzil,,NaT,4,0.0,0.0
amuzil,,NaT,5,0.0,0.0
amuzil,,NaT,6,0.0,0.0
analysis-tools-dev,,NaT,0,0.0,0.0
analysis-tools-dev,,NaT,1,0.0,0.0
analysis-tools-dev,,NaT,2,0.0,0.0
analysis-tools-dev,,NaT,3,0.0,0.0
analysis-tools-dev,,NaT,4,0.0,0.0
analysis-tools-dev,,NaT,5,0.0,0.0
analysis-tools-dev,,NaT,6,0.0,0.0
Airsaid,,NaT,0,0.0,0.0
Airsaid,2023-02-15,2023-03,1,3.0,1.0
Airsaid,2023-02-15,2023-04,2,7.0,2.0
Airsaid,2023-02-15,2023-05,3,5.0,3.0
Airsaid,,NaT,4,0.0,0.0
Airsaid,2023-02-15,2023-07,5,0.0,2.0
Airsaid,2023-02-15,2023-08,6,1.0,2.0
scverse,,NaT,0,0.0,0.0
scverse,,NaT,1,0.0,0.0
scverse,,NaT,2,0.0,0.0
scverse,,NaT,3,0.0,0.0
scverse,2023-05-05,2023-09,4,6.0,2.0
scverse,,NaT,5,0.0,0.0
scverse,,NaT,6,0.0,0.0
qishibo,,NaT,0,0.0,0.0
qishibo,,NaT,1,0.0,0.0
qishibo,,NaT,2,0.0,0.0
qishibo,,NaT,3,0.0,0.0
qishibo,2024-05-21,2024-09,4,6.0,2.0
qishibo,2024-05-21,2024-10,5,0.0,1.0
qishibo,2024-05-21,2024-11,6,4.0,3.0
anticensority,,NaT,0,0.0,0.0
anticensority,,NaT,1,0.0,0.0
anticensority,,NaT,2,0.0,0.0
anticensority,,NaT,3,0.0,0.0
anticensority,,NaT,4,0.0,0.0
anticensority,2017-06-01,2017-11,5,5.0,1.0
anticensority,,NaT,6,0.0,0.0
apiato,,NaT,0,0.0,0.0
apiato,,NaT,1,0.0,0.0
apiato,,NaT,2,0.0,0.0
apiato,,NaT,3,0.0,0.0
apiato,2017-05-21,2017-09,4,10.0,1.0
apiato,,NaT,5,0.0,0.0
apiato,,NaT,6,0.0,0.0
apiflask,,NaT,0,0.0,0.0
apiflask,,NaT,1,0.0,0.0
apiflask,,NaT,2,0.0,0.0
apiflask,,NaT,3,0.0,0.0
apiflask,,NaT,4,0.0,0.0
apiflask,2021-06-26,2021-11,5,1.0,1.0
apiflask,2021-06-26,2021-12,6,4.0,1.0
apollo-elements,,NaT,0,0.0,0.0
apollo-elements,,NaT,1,0.0,0.0
apollo-elements,,NaT,2,0.0,0.0
apollo-elements,,NaT,3,0.0,0.0
apollo-elements,,NaT,4,0.0,0.0
apollo-elements,,NaT,5,0.0,0.0
apollo-elements,,NaT,6,0.0,0.0
apolloconfig,2018-11-16,2018-11,0,1.0,1.0
apolloconfig,2018-11-16,2018-12,1,5.0,1.0
apolloconfig,2018-11-16,2019-01,2,4.0,1.0
apolloconfig,,NaT,3,0.0,0.0
apolloconfig,2018-11-16,2019-03,4,12.0,1.0
apolloconfig,,NaT,5,0.0,0.0
apolloconfig,,NaT,6,0.0,0.0
ColinEberhardt,,NaT,0,0.0,0.0
ColinEberhardt,,NaT,1,0.0,0.0
ColinEberhardt,,NaT,2,0.0,0.0
ColinEberhardt,,NaT,3,0.0,0.0
ColinEberhardt,2018-05-09,2018-09,4,1.0,1.0
ColinEberhardt,,NaT,5,0.0,0.0
ColinEberhardt,,NaT,6,0.0,0.0
approach0,,NaT,0,0.0,0.0
approach0,,NaT,1,0.0,0.0
approach0,,NaT,2,0.0,0.0
approach0,2017-04-07,2017-07,3,1.0,1.0
approach0,,NaT,4,0.0,0.0
approach0,,NaT,5,0.0,0.0
approach0,,NaT,6,0.0,0.0
AravisProject,,NaT,0,0.0,0.0
AravisProject,,NaT,1,0.0,0.0
AravisProject,,NaT,2,0.0,0.0
AravisProject,,NaT,3,0.0,0.0
AravisProject,,NaT,4,0.0,0.0
AravisProject,,NaT,5,0.0,0.0
AravisProject,,NaT,6,0.0,0.0
arborchat,2018-10-27,2018-10,0,4.0,7.0
arborchat,2018-10-27,2018-11,1,0.0,1.0
arborchat,,NaT,2,0.0,0.0
arborchat,,NaT,3,0.0,0.0
arborchat,,NaT,4,0.0,0.0
arborchat,,NaT,5,0.0,0.0
arborchat,,NaT,6,0.0,0.0
archaeo-social,,NaT,0,0.0,0.0
archaeo-social,2022-11-14,2022-12,1,0.0,1.0
archaeo-social,,NaT,2,0.0,0.0
archaeo-social,,NaT,3,0.0,0.0
archaeo-social,,NaT,4,0.0,0.0
archaeo-social,,NaT,5,0.0,0.0
archaeo-social,,NaT,6,0.0,0.0
arkmanager,,NaT,0,0.0,0.0
arkmanager,,NaT,1,0.0,0.0
arkmanager,,NaT,2,0.0,0.0
arkmanager,2022-04-09,2022-07,3,14.0,4.0
arkmanager,2022-04-09,2022-08,4,23.0,3.0
arkmanager,,NaT,5,0.0,0.0
arkmanager,2022-04-09,2022-10,6,4.0,1.0
webarkit,2021-10-11,2021-10,0,20.0,2.0
webarkit,,NaT,1,0.0,0.0
webarkit,2021-10-11,2021-12,2,10.0,4.0
webarkit,,NaT,3,0.0,0.0
webarkit,,NaT,4,0.0,0.0
webarkit,,NaT,5,0.0,0.0
webarkit,,NaT,6,0.0,0.0
arrow-py,2022-09-29,2022-09,0,1.0,1.0
arrow-py,,NaT,1,0.0,0.0
arrow-py,2022-09-29,2022-11,2,5.0,1.0
arrow-py,,NaT,3,0.0,0.0
arrow-py,,NaT,4,0.0,0.0
arrow-py,,NaT,5,0.0,0.0
arrow-py,,NaT,6,0.0,0.0
katharostech,,NaT,0,0.0,0.0
katharostech,,NaT,1,0.0,0.0
katharostech,,NaT,2,0.0,0.0
katharostech,,NaT,3,0.0,0.0
katharostech,,NaT,4,0.0,0.0
katharostech,,NaT,5,0.0,0.0
katharostech,,NaT,6,0.0,0.0
ArtalkJS,2024-10-03,2024-10,0,0.0,10.0
ArtalkJS,,NaT,1,0.0,0.0
ArtalkJS,,NaT,2,0.0,0.0
ArtalkJS,,NaT,3,0.0,0.0
ArtalkJS,,NaT,4,0.0,0.0
ArtalkJS,,NaT,5,0.0,0.0
ArtalkJS,,NaT,6,0.0,0.0
arviz-devs,,NaT,0,0.0,0.0
arviz-devs,,NaT,1,0.0,0.0
arviz-devs,,NaT,2,0.0,0.0
arviz-devs,,NaT,3,0.0,0.0
arviz-devs,2019-05-28,2019-09,4,0.0,1.0
arviz-devs,,NaT,5,0.0,0.0
arviz-devs,,NaT,6,0.0,0.0
asciidocfx,2023-11-13,2023-11,0,0.0,1.0
asciidocfx,2023-11-13,2023-12,1,0.0,1.0
asciidocfx,2023-11-13,2024-01,2,7.0,3.0
asciidocfx,2023-11-13,2024-02,3,7.0,4.0
asciidocfx,2023-11-13,2024-03,4,11.0,5.0
asciidocfx,,NaT,5,0.0,0.0
asciidocfx,,NaT,6,0.0,0.0
ash-project,,NaT,0,0.0,0.0
ash-project,,NaT,1,0.0,0.0
