slug,first_time,cur_month,index,comments,amounts
Aletheia-Data,2021-11-07,2022-05,6,0.0,1.0
alfio-event,2024-05-15,2024-05,0,6.0,2.0
alfio-event,2024-05-15,2024-06,1,1.0,1.0
alfio-event,2024-05-15,2024-07,2,4.0,4.0
alfio-event,2024-05-15,2024-08,3,3.0,4.0
alfio-event,2024-05-15,2024-09,4,3.0,2.0
alfio-event,2024-05-15,2024-10,5,3.0,2.0
alfio-event,2024-05-15,2024-11,6,13.0,8.0
alire-project,2020-04-06,2020-04,0,0.0,1.0
alire-project,2020-04-06,2020-05,1,0.0,1.0
alire-project,2020-04-06,2020-06,2,0.0,0.0
alire-project,2020-04-06,2020-07,3,0.0,1.0
alire-project,2020-04-06,2020-08,4,0.0,0.0
alire-project,2020-04-06,2020-09,5,0.0,0.0
alire-project,2020-04-06,2020-10,6,0.0,0.0
allthingslinux,2024-05-10,2024-05,0,0.0,1.0
allthingslinux,2024-05-10,2024-06,1,0.0,3.0
allthingslinux,2024-05-10,2024-07,2,0.0,4.0
allthingslinux,2024-05-10,2024-08,3,0.0,0.0
allthingslinux,2024-05-10,2024-09,4,6.0,7.0
allthingslinux,2024-05-10,2024-10,5,11.0,9.0
allthingslinux,2024-05-10,2024-11,6,5.0,5.0
AlmaLinux,2021-02-27,2021-02,0,0.0,1.0
AlmaLinux,2021-02-27,2021-03,1,0.0,2.0
AlmaLinux,2021-02-27,2021-04,2,0.0,0.0
AlmaLinux,2021-02-27,2021-05,3,0.0,6.0
AlmaLinux,2021-02-27,2021-06,4,0.0,0.0
AlmaLinux,2021-02-27,2021-07,5,2.0,1.0
AlmaLinux,2021-02-27,2021-08,6,0.0,0.0
alovajs,2023-04-13,2023-04,0,2.0,1.0
alovajs,2023-04-13,2023-05,1,0.0,0.0
alovajs,2023-04-13,2023-06,2,0.0,0.0
alovajs,2023-04-13,2023-07,3,0.0,0.0
alovajs,2023-04-13,2023-08,4,0.0,0.0
alovajs,2023-04-13,2023-09,5,0.0,1.0
alovajs,2023-04-13,2023-10,6,0.0,0.0
Alovoa,2023-10-01,2023-10,0,0.0,2.0
Alovoa,2023-10-01,2023-11,1,4.0,5.0
Alovoa,2023-10-01,2023-12,2,4.0,3.0
Alovoa,2023-10-01,2024-01,3,11.0,1.0
Alovoa,2023-10-01,2024-02,4,0.0,2.0
Alovoa,2023-10-01,2024-03,5,1.0,9.0
Alovoa,2023-10-01,2024-04,6,0.0,1.0
stefansundin,2021-08-27,2021-08,0,1.0,1.0
stefansundin,2021-08-27,2021-09,1,0.0,0.0
stefansundin,2021-08-27,2021-10,2,12.0,3.0
stefansundin,2021-08-27,2021-11,3,3.0,1.0
stefansundin,2021-08-27,2021-12,4,1.0,1.0
stefansundin,2021-08-27,2022-01,5,0.0,1.0
stefansundin,2021-08-27,2022-02,6,4.0,3.0
amethyst,2016-08-03,2016-08,0,0.0,1.0
amethyst,2016-08-03,2016-09,1,0.0,0.0
amethyst,2016-08-03,2016-10,2,0.0,0.0
amethyst,2016-08-03,2016-11,3,0.0,0.0
amethyst,2016-08-03,2016-12,4,0.0,0.0
amethyst,2016-08-03,2017-01,5,0.0,0.0
amethyst,2016-08-03,2017-02,6,0.0,0.0
Amog-OS,2023-08-23,2023-08,0,27.0,4.0
Amog-OS,2023-08-23,2023-09,1,0.0,0.0
Amog-OS,2023-08-23,2023-10,2,0.0,0.0
Amog-OS,2023-08-23,2023-11,3,0.0,0.0
Amog-OS,2023-08-23,2023-12,4,0.0,0.0
Amog-OS,2023-08-23,2024-01,5,2.0,1.0
Amog-OS,2023-08-23,2024-02,6,3.0,1.0
serversideup,2022-03-10,2022-03,0,0.0,2.0
serversideup,2022-03-10,2022-04,1,1.0,2.0
serversideup,2022-03-10,2022-05,2,1.0,11.0
serversideup,2022-03-10,2022-06,3,0.0,0.0
serversideup,2022-03-10,2022-07,4,0.0,2.0
serversideup,2022-03-10,2022-08,5,0.0,0.0
serversideup,2022-03-10,2022-09,6,0.0,1.0
amuzil,2022-12-12,2022-12,0,0.0,1.0
amuzil,2022-12-12,2023-01,1,4.0,3.0
amuzil,2022-12-12,2023-02,2,0.0,0.0
amuzil,2022-12-12,2023-03,3,0.0,0.0
amuzil,2022-12-12,2023-04,4,0.0,0.0
amuzil,2022-12-12,2023-05,5,0.0,0.0
amuzil,2022-12-12,2023-06,6,0.0,0.0
analysis-tools-dev,2020-08-21,2020-08,0,5.0,1.0
