slug,name
carers-common-room,Carers' Common Room
umd,"University of Maryland, College Park"
carleton-college,Carleton College
carleton-college,Carleton College
swiftui,Jinxiansen
kamvusoft,Kamvusoft
trachi,TRACHI
usf,University of San Francisco
ashleydemosscopp,Ashley DeMoss Copp
shubham1782,shubham1782
georgia-tech,Georgia Tech
boston-ts-club,Boston TS Club
mcsmanager,MCSManager
automat-svet,Automat Svět
cmsdev,CMSdev
fincept-terminal,Fincept Terminal
nobelium,nobelium
