treated_index,control_index,treated_score,control_score
4,2569,0.5341856472185864,0.5341856472185864
4,2642,0.5341856472185864,0.5340516671639887
4,180,0.5341856472185864,0.533917682196427
5,862,0.4213652757826413,0.4213652757826413
5,470,0.4213652757826413,0.4213652757826413
5,764,0.4213652757826413,0.4213652757826413
7,2644,0.42984311331305464,0.43005395774847416
7,1025,0.42984311331305464,0.4307907473202368
7,2072,0.42984311331305464,0.42881345562093615
8,468,0.6914530983208872,0.6914563275781143
8,2118,0.6914530983208872,0.6909484781598777
8,1754,0.6914530983208872,0.6941440783098809
9,2553,0.4551075746987065,0.45529326237275297
9,1946,0.4551075746987065,0.45558707978838553
9,412,0.4551075746987065,0.45459963397457087
12,59,0.488058505739183,0.48792397655737524
12,380,0.488058505739183,0.48778944912499006
12,311,0.488058505739183,0.4883275692731985
13,1689,0.4581004519642037,0.4580958853761004
13,2132,0.4581004519642037,0.4580735163903707
13,2488,0.4581004519642037,0.45743141093375606
15,1385,0.6098496848100449,0.6099566760454175
15,239,0.6098496848100449,0.6101058737843658
15,315,0.6098496848100449,0.6101190274136733
16,110,0.4034864188541736,0.4034864188541736
16,2362,0.4034864188541736,0.4034603036511381
16,268,0.4034864188541736,0.40335683414305573
17,1357,0.7235095394878591,0.7246186906408559
17,1403,0.7235095394878591,0.7254520754944936
17,271,0.7235095394878591,0.7195495869940818
18,1946,0.45625515580263926,0.45558707978838553
18,2307,0.45625515580263926,0.45716416090349954
18,2553,0.45625515580263926,0.45529326237275297
21,412,0.45462568972875245,0.45459963397457087
21,2596,0.45462568972875245,0.45427885373933435
21,2178,0.45462568972875245,0.4540119043315598
26,682,0.4283627188595506,0.42810195974581766
26,162,0.4283627188595506,0.42791711816908135
26,2072,0.4283627188595506,0.42881345562093615
29,1656,0.6621929410217907,0.6630436332907435
29,2639,0.6621929410217907,0.6635407595793199
29,2066,0.6621929410217907,0.660540101990075
30,1736,0.5137424071006701,0.5137097480742766
30,1161,0.5137424071006701,0.5136196582645615
30,2154,0.5137424071006701,0.5135770790015834
37,487,0.6666767379785276,0.6666767379785276
37,177,0.6666767379785276,0.6666571631245006
37,1581,0.6666767379785276,0.6667045691529171
40,110,0.4040048922175309,0.4034864188541736
40,2362,0.4040048922175309,0.4034603036511381
40,268,0.4040048922175309,0.40335683414305573
42,1907,0.5637002507250987,0.5638059839667243
42,2661,0.5637002507250987,0.5635944087435635
42,56,0.5637002507250987,0.5635001241934002
45,14,0.3614728910725261,0.3612777532695699
45,126,0.3614728910725261,0.36169992067221607
45,1914,0.3614728910725261,0.3606382350497598
46,682,0.42804893247414044,0.42810195974581766
46,162,0.42804893247414044,0.42791711816908135
46,2384,0.42804893247414044,0.4273634095274826
49,2567,0.31610276028546747,0.31612789961994936
49,645,0.31610276028546747,0.3147335171759028
49,674,0.31610276028546747,0.3144546184595313
50,678,0.5268038216986909,0.526969553159919
50,2077,0.5268038216986909,0.5278211047888907
50,828,0.5268038216986909,0.525465898665848
51,2547,0.5317462534517267,0.5317462534517267
51,2511,0.5317462534517267,0.5317462534517267
51,514,0.5317462534517267,0.5317462534517267
52,2399,0.6659864138043183,0.6655608777591999
52,814,0.6659864138043183,0.6665570785353899
52,177,0.6659864138043183,0.6666571631245006
60,2399,0.6655599282233597,0.6655608777591999
60,881,0.6655599282233597,0.665215246606587
60,1196,0.6655599282233597,0.6649753842042139
61,1360,0.7122266819279366,0.7123220639047602
61,1181,0.7122266819279366,0.709685873516871
61,1513,0.7122266819279366,0.7085058523393367
65,361,0.4785346693945834,0.478454359137323
65,1869,0.4785346693945834,0.4784272833859266
65,2035,0.4785346693945834,0.4790450504069307
68,1727,0.46174072880448686,0.4616290993713993
68,1218,0.46174072880448686,0.46202160252316793
68,899,0.46174072880448686,0.46202160252316793
69,1489,0.6541149055261595,0.6539633389529926
69,1586,0.6541149055261595,0.654532580798154
69,2082,0.6541149055261595,0.6546502496742475
70,1823,0.4662412818190413,0.46585879098342786
70,335,0.4662412818190413,0.46583868254086064
70,250,0.4662412818190413,0.46583868254086064
72,2741,0.7471194793663819,0.7472211919604542
72,1315,0.7471194793663819,0.7469673632740816
72,1693,0.7471194793663819,0.7468964956556224
73,996,0.42296788326807094,0.42296788326807094
73,76,0.42296788326807094,0.42296788326807094
73,869,0.42296788326807094,0.42296788326807094
75,1994,0.5466503899335534,0.546622692023195
75,676,0.5466503899335534,0.5463682652308264
75,1877,0.5466503899335534,0.546112036452651
80,81,0.6151406385268592,0.6147969537429915
80,1604,0.6151406385268592,0.6147959836341902
80,1427,0.6151406385268592,0.615729948063717
82,1701,0.6806418915535917,0.68009329876684
82,1820,0.6806418915535917,0.6800678162923898
82,515,0.6806418915535917,0.6812764037990201
83,2066,0.6591265761230304,0.660540101990075
83,2624,0.6591265761230304,0.6568111369306315
83,2347,0.6591265761230304,0.6566779335016156
86,1701,0.68026966129747,0.68009329876684
86,1820,0.68026966129747,0.6800678162923898
86,2342,0.68026966129747,0.6798570902726104
88,433,0.4230993005457957,0.4230993005457957
88,1065,0.4230993005457957,0.42321660111021525
88,869,0.4230993005457957,0.42296788326807094
90,110,0.40374562866546315,0.4034864188541736
90,2362,0.40374562866546315,0.4034603036511381
90,268,0.40374562866546315,0.40335683414305573
91,1755,0.5740276349482292,0.5738877501930357
91,1915,0.5740276349482292,0.5745969969423117
91,2387,0.5740276349482292,0.5733426808253895
92,760,0.48587915506967216,0.48587915506967216
92,1105,0.48587915506967216,0.48574465662761
92,847,0.48587915506967216,0.48574465662761
93,89,0.44309045573953554,0.44309045573953554
93,1217,0.44309045573953554,0.44309045573953554
93,147,0.44309045573953554,0.44309045573953554
94,687,0.4311366665527877,0.4310046179304673
94,1025,0.4311366665527877,0.4307907473202368
94,2218,0.4311366665527877,0.43174381406131573
95,1933,0.6320768549431057,0.6320412510372097
95,1835,0.6320768549431057,0.6326794907293706
95,347,0.6320768549431057,0.6313272546656914
97,1915,0.5747501109249213,0.5745969969423117
97,524,0.5747501109249213,0.5750842459191566
97,1150,0.5747501109249213,0.5750842459191566
98,2620,0.511697505632312,0.511697505632312
98,1253,0.511697505632312,0.5116164459502951
98,544,0.511697505632312,0.5116134782844818
99,1422,0.6114248222617925,0.6114565695658147
99,2192,0.6114248222617925,0.611513823938325
99,903,0.6114248222617925,0.6112072771963375
102,193,0.48380317978833,0.48437204520652233
102,1243,0.48380317978833,0.48437204520652233
102,711,0.48380317978833,0.48300031344547373
103,2093,0.5662679092183716,0.5661528255049169
103,2160,0.5662679092183716,0.5660823581926524
103,576,0.5662679092183716,0.5671258039695904
107,1489,0.6537831808713052,0.6539633389529926
107,1586,0.6537831808713052,0.654532580798154
107,2649,0.6537831808713052,0.6529440568087596
108,716,0.4766268932247592,0.4766268932247592
108,973,0.4766268932247592,0.47668092290113473
108,44,0.4766268932247592,0.47670492291325206
111,2239,0.4799054911971865,0.4799054911971865
111,2035,0.4799054911971865,0.4790450504069307
111,901,0.4799054911971865,0.4810911588723578
114,677,0.6041078451021508,0.6037214668653293
114,1061,0.6041078451021508,0.603463809408766
114,897,0.6041078451021508,0.6050348177118542
115,897,0.6050348177118542,0.6050348177118542
115,1179,0.6050348177118542,0.6050348177118542
115,958,0.6050348177118542,0.6051634771633118
117,1886,0.6281256212027868,0.628208053819005
117,545,0.6281256212027868,0.6278994022800362
117,709,0.6281256212027868,0.6277735945224939
122,555,0.5301101310051969,0.529976010153642
122,2563,0.5301101310051969,0.529976010153642
122,1270,0.5301101310051969,0.5298418849726226
123,35,0.5155178987742494,0.5152489399592134
123,1923,0.5155178987742494,0.5152405256883386
123,296,0.5155178987742494,0.5158139476962662
125,464,0.5928210905545802,0.5932237753817635
125,74,0.5928210905545802,0.5936657477892823
125,222,0.5928210905545802,0.5918198976781252
128,124,0.4623539073083222,0.4621698213697695
128,1218,0.4623539073083222,0.46202160252316793
128,899,0.4623539073083222,0.46202160252316793
130,181,0.4897000999318648,0.4897000999318648
130,170,0.4897000999318648,0.4895106779752228
130,307,0.4897000999318648,0.4901037556860226
132,1831,0.4891619132435446,0.489134799836662
132,2168,0.4891619132435446,0.4892868440482597
132,2583,0.4891619132435446,0.4890273704484352
133,555,0.5302436052036154,0.529976010153642
133,2563,0.5302436052036154,0.529976010153642
133,422,0.5302436052036154,0.5305124673907798
134,1536,0.6074559357038078,0.607668079126974
134,1087,0.6074559357038078,0.6077721358637268
134,909,0.6074559357038078,0.607117493061468
135,687,0.43126872496764224,0.4310046179304673
135,2218,0.43126872496764224,0.43174381406131573
135,1025,0.43126872496764224,0.4307907473202368
136,929,0.4776745988746724,0.4774059284307311
136,598,0.4776745988746724,0.4774036085729923
136,2085,0.4776745988746724,0.47799500474814605
141,242,0.5682770933242952,0.5682770933242952
141,2647,0.5682770933242952,0.5685412674948039
141,2098,0.5682770933242952,0.5685591050317209
144,536,0.6069890568273789,0.6069890568273789
144,909,0.6069890568273789,0.607117493061468
144,911,0.6069890568273789,0.606732139980653
145,972,0.4197643232543463,0.4197643232543463
145,153,0.4197643232543463,0.4197643232543463
145,971,0.4197643232543463,0.4197643232543463
148,137,0.4668042999434695,0.4668042999434695
148,681,0.4668042999434695,0.4666702888349767
148,402,0.4668042999434695,0.4666702888349767
152,110,0.4034864188541736,0.4034864188541736
152,2362,0.4034864188541736,0.4034603036511381
152,268,0.4034864188541736,0.40335683414305573
156,1656,0.6624337842616008,0.6630436332907435
156,2639,0.6624337842616008,0.6635407595793199
156,2066,0.6624337842616008,0.660540101990075
157,127,0.44088482391694955,0.44064613412411774
157,920,0.44088482391694955,0.44064613412411774
157,244,0.44088482391694955,0.44056451857043705
158,2111,0.49107278590094566,0.4909111053840975
158,28,0.49107278590094566,0.49080366067546916
158,591,0.49107278590094566,0.49080366067546916
159,2348,0.7022850836234219,0.702444704447753
159,607,0.7022850836234219,0.7028886044200423
159,1640,0.7022850836234219,0.7036194380115495
160,1899,0.46897613781477127,0.46894911615519275
160,243,0.46897613781477127,0.4690294352499317
160,31,0.46897613781477127,0.46884205145395913
168,401,0.4714174771595809,0.47155100360047025
168,1849,0.4714174771595809,0.4710142481765358
168,2189,0.4714174771595809,0.4709609252509922
173,193,0.48450652166250535,0.48437204520652233
173,1243,0.48450652166250535,0.48437204520652233
173,1477,0.48450652166250535,0.4852283738799071
174,2619,0.6350673555334835,0.6355914786640584
174,2129,0.6350673555334835,0.6364862467954778
174,1049,0.6350673555334835,0.6335558048126688
175,1444,0.7324390418753738,0.7314870018864499
175,2574,0.7324390418753738,0.7351914490941365
175,1303,0.7324390418753738,0.7292877139812313
176,422,0.5302442475080562,0.5305124673907798
176,2669,0.5302442475080562,0.5305124673907798
176,2563,0.5302442475080562,0.529976010153642
179,2072,0.4293942193720924,0.42881345562093615
