slug,amount,currency,members,updates,name,type,tags,contributionsCount,totalFinancialContributors,country,flag,tag_community,tag_open source,tag_javascript,tag_other,tag_association,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown,age
ypc-community-fund,2443.84,USD,6,0,YPC Community Fund,公益型,,6,1,US,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5.0
prav-ios,637.25,USD,25,8,Prav Messaging App for iOS,技术型,"xmpp, cooperative, prav, free software, ios, open source",19,16,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1.0
worldwide-telescope,53851.14,USD,12,0,WorldWide Telescope,技术型,"open source, community, visualization, astronomy, web",15,3,Unknown,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2.0
nobo-house,53350.0,USD,8,2,Nobo Wellness,公益型,community,4,3,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.0
razzle,110.0,USD,6,0,Razzle,技术型,"open source, react, server rendering, webpack, node.js",19,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
art-is-important,570.0,USD,4,0,Art is Important,公益型,"open source, tribe, athens, ga, outreach, community",26,2,Unknown,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2.0
appium-device-farm,1520.0,USD,15,0,Appium Device Farm,技术型,"open source, testing, appium, mobile",17,7,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.0
zokrates,70535.0,USD,21,0,ZoKrates,技术型,"open source, cryptography, blockchain, ethereum, zksnarks",22,14,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,6.0
whitestormjs,166.0,USD,16,0,WhitestormJS Engine,技术型,open source,35,4,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,8.0
git-point,140.0,USD,12,0,git-point,技术型,"github, github-client, gitpoint, react-native, ios, android, open source",37,7,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7.0
ssussdriad,81.0,USD,3,1,Ssussdriad,技术型,"regenerative agriculture, alternative education, nutrition, downtown revitalization, open source, world peace, events, native advertising",26,1,US,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3.0
uv,324.0,USD,8,0,urbanists.video,技术型,"community, urbanism, peertube, fediverse",12,4,US,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0
domino-ui,350.0,USD,3,0,Domino Ui,技术型,"open source, javascript, java, gui, programming, github, css, html",13,1,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2.0
instantos,457.92,USD,4,0,InstantOS,技术型,open source,18,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,5.0
rustpython,1800.0,USD,4,0,RustPython,技术型,open source,18,1,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
semantic-release,78.0,USD,6,0,semantic-release,技术型,"open source, pledged",15,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.0
django-defectdojo,1076.0,USD,9,2,DefectDojo,技术型,"open source, security, vulnerability-management",17,3,US,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5.0
get-it-right-cooperative,1915.0,USD,19,0,Get It Right Educators Cooperative,教育型,"coop, worker, teachers, community",18,17,Unknown,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2.0
houdini,1018.31,USD,4,0,Houdini,技术型,"open source, svelte, graphql",18,2,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3.0
