treated_index,control_index,treated_score,control_score
4,3705,0.3946176356010391,0.39447885806397237
5,4072,0.5365202989429845,0.5365202989429845
6,1459,0.4007696044267124,0.4007696044267124
9,3294,0.33363009748525946,0.33333810010952464
10,1077,0.4078157288021513,0.4078425224341483
11,2515,0.6977353302460252,0.6975412695517049
12,2826,0.43708363607811934,0.43712726092225435
13,3487,0.42870484474494225,0.4284796550344676
14,1351,0.2430899838075696,0.24347014408419437
17,2927,0.48121285743817793,0.4812857921654282
18,3184,0.4393177726390688,0.4389698924422462
20,1329,0.5677866297670936,0.5677866297670936
21,374,0.3781199024560197,0.3781199024560197
23,2886,0.5614186488925322,0.5614421250590931
24,463,0.4568257245126374,0.45708344020027836
30,463,0.4571336707490297,0.45708344020027836
34,3003,0.6462491729920126,0.6462941493581624
36,3521,0.4364964425228204,0.43647913550533324
38,229,0.3985101329979965,0.3987434289591938
43,1844,0.6163720469095315,0.6167180287720662
44,798,0.5109928641532023,0.5110119995927134
46,940,0.4088446099976433,0.4088816272998034
51,3989,0.5403913558036795,0.5404987361326936
53,966,0.6777699033684228,0.6777699033684228
55,578,0.45266100216632993,0.4524149611480734
57,3776,0.37871951012126287,0.3787014919738266
59,759,0.5688609214812974,0.5689090235228202
62,1,0.3301305078104941,0.33019588361163366
63,1024,0.4060580845615125,0.4060848419035265
67,3064,0.5676302291802147,0.5675789095904108
69,1432,0.3015147636848072,0.3017623931651373
70,676,0.5139586662619385,0.5139559100518585
72,3984,0.5342819247576795,0.5342819247576795
73,1844,0.616753293373847,0.6167180287720662
79,684,0.31933377951052055,0.31882254438736163
81,3127,0.46238966952551697,0.4623770772487624
84,1400,0.6325457298590357,0.632811876651081
85,415,0.5609712685963876,0.5607592624106121
86,2295,0.5068119940212201,0.50666719720709
88,3809,0.37383431240152054,0.3739169817371996
90,3106,0.6450246914209182,0.6447207451527321
92,2257,0.6085545346184975,0.608416529249404
95,2881,0.4640938738240247,0.46418022719573226
99,1989,0.6655002082108342,0.663494053715289
100,493,0.273382652653314,0.27464185796035223
103,4087,0.6204865936853212,0.6203449200395422
104,2927,0.48121285743817793,0.4812857921654282
105,52,0.5125938289062915,0.5126724654631651
107,1640,0.597949469154276,0.5978999653684315
108,509,0.4260503073598334,0.4260503073598334
111,3528,0.5798470633719809,0.5799994514943473
114,1982,0.45334037178183584,0.45334037178183584
115,398,0.2858943987452175,0.2858943987452175
116,130,0.4820275106346794,0.48186839611841353
117,2830,0.43100986100153876,0.4310101056207045
119,876,0.43174488213377676,0.4315944456417014
120,237,0.48638071349188167,0.48627205918749516
122,1128,0.4032576711672858,0.4032576711672858
124,3601,0.46514259414504067,0.4650640578669431
126,1135,0.6192600641414651,0.6193117653431177
129,453,0.27116680977065977,0.27197004250845097
131,1377,0.4624901990691265,0.4624901990691265
132,29,0.3838897164563248,0.3839317107547785
133,414,0.30421729583016954,0.30408241830006216
136,4166,0.6174709498486547,0.6174444286329172
137,3322,0.4290685853066027,0.42903258942818395
141,2503,0.5905354185209069,0.5904711001783344
142,237,0.4863947937027886,0.48627205918749516
143,1417,0.5876671740014012,0.5879326916221123
145,152,0.5289939720818659,0.5286370727357782
146,2707,0.5975436773106579,0.5974920818583506
147,3802,0.5729588268780444,0.5731321372118029
148,223,0.45478114910670303,0.45478114910670303
149,2804,0.3756892891188803,0.37577080821864733
153,823,0.40245160741344455,0.40247270285698766
154,2881,0.4640938738240247,0.46418022719573226
156,476,0.5077692771839708,0.507767723698849
161,4263,0.48137195659728294,0.4813910747610328
162,3759,0.6506240403917931,0.6506172872804353
170,1497,0.42684841089229253,0.42684841089229253
171,2196,0.47033246707752596,0.4703447266553257
172,29,0.38388532134602515,0.3839317107547785
176,1079,0.4898231699527977,0.4898325323509954
177,904,0.2865854809583413,0.2866996450459808
180,3714,0.6622424100459031,0.6624655561033375
188,1821,0.44098628663216743,0.44096210150432197
191,495,0.46892829473824515,0.46879003267740044
194,56,0.6451963001587567,0.6453421735507266
195,184,0.4523739624511703,0.4523739624511703
197,4242,0.4265350957619276,0.4266380625134503
199,4088,0.4165232006493266,0.4166869058645307
201,3127,0.4620639393343578,0.4623770772487624
202,2090,0.3793612202172905,0.3793836965004989
205,3557,0.3628504535906664,0.3622052622275183
206,299,0.4825048759243065,0.4825048759243065
208,781,0.4666893394480635,0.4665102980451995
210,130,0.48186839611841353,0.48186839611841353
212,3466,0.5519169402922529,0.5515103537190907
213,3142,0.5414531795287892,0.5414482496214218
215,2119,0.4081718213189709,0.4081288195608095
218,2885,0.5397452976363797,0.5397930346574848
219,15,0.5917676355220407,0.5915781755817611
221,520,0.40855659839141273,0.4085352883803279
222,1161,0.4831798921481716,0.48316053547358623
226,3228,0.443271531921128,0.44329199561985777
228,1698,0.4281239176497346,0.42811491813997143
231,528,0.5723523872785491,0.5723523872785491
235,1060,0.6050948696984135,0.6050948696984135
236,2001,0.45899838129605924,0.45898907801934646
238,1794,0.39952747820109963,0.39952747820109963
242,3255,0.43147878950115637,0.43153217767452007
243,223,0.45478114910670303,0.45478114910670303
247,374,0.3781199024560197,0.3781199024560197
252,1844,0.6166733856554881,0.6167180287720662
253,1707,0.4447547690785694,0.4447925913751453
254,3225,0.5465023276898224,0.5465277583073873
256,462,0.2649579134224737,0.26507414162739984
257,604,0.48347882522312374,0.4836379751408983
258,2416,0.7141051940657959,0.7121467769464572
259,435,0.45462159350153825,0.4546231345633596
260,1206,0.45669702609716906,0.4565638806074965
266,2749,0.6729933340013955,0.6722903744160783
271,2155,0.6763523905330334,0.6763597417552228
273,4159,0.29280287286840556,0.2929045763531349
274,2134,0.5815988187637012,0.5814151125059833
275,3409,0.45893066309544644,0.4589116476104044
277,802,0.47703795114649883,0.47678289638838056
282,432,0.49720128936176833,0.49704197244807696
283,4138,0.6368102774304157,0.6368279886243962
285,2134,0.5815287346627525,0.5814151125059833
286,4249,0.3841057077462573,0.38405417743522374
287,858,0.5331526837750309,0.5334699138285236
290,906,0.5098765417990974,0.5098780950529312
293,1115,0.40726696621755804,0.4071529047460624
295,422,0.4069990854587206,0.4069990854587206
300,3910,0.47017370880721704,0.4702172252807286
301,4289,0.6598692686645788,0.6603234517400214
303,223,0.45476216104697115,0.45478114910670303
306,4159,0.29346312309022454,0.2929045763531349
307,4294,0.6130571463573616,0.6132083118825988
308,1130,0.40201300698414166,0.40201300698414166
309,15,0.5918675963841068,0.5915781755817611
311,2840,0.5473498063188766,0.5470607851784931
315,753,0.5662032118199806,0.5663597342550448
321,414,0.30408241830006216,0.30408241830006216
322,3802,0.5729775638545761,0.5731321372118029
325,571,0.6810507831117647,0.6810126331195983
327,2641,0.6137707722270455,0.6136742984501272
330,3592,0.6885399848789263,0.6882429414433531
333,1004,0.3998332951992765,0.3998332951992765
334,880,0.4021662198446049,0.4021662198446049
335,1011,0.3270345206863863,0.32716585938993203
336,3452,0.4398664592790836,0.4399269029452652
339,174,0.3784196598299744,0.37840164725951564
341,319,0.5772369612717262,0.5772158859834635
343,2090,0.3793194886537111,0.3793836965004989
344,1454,0.4792848620042245,0.4792848620042245
345,1497,0.42684841089229253,0.42684841089229253
347,2633,0.6689864439718936,0.669276427864639
348,602,0.40840261411751394,0.40840261411751394
349,1973,0.5873617176273165,0.5871097901585374
351,2898,0.5211929084444994,0.5210768708709017
352,4140,0.5092219011311117,0.5092219011311117
355,2257,0.6084948514649412,0.608416529249404
361,2608,0.4901359667835168,0.4900456609488019
362,3219,0.5706169140632034,0.5707978531990677
366,823,0.4024587555045336,0.40247270285698766
370,2728,0.6142340529337588,0.6143451987689109
371,267,0.4411713370139511,0.44114339529688845
372,1377,0.4624901990691265,0.4624901990691265
375,3733,0.6263459542944948,0.6256197473006316
376,3601,0.4650640578669431,0.4650640578669431
379,3682,0.6029242491724984,0.6028192618770517
380,1673,0.6034001985055762,0.6034001985055762
383,3677,0.4045035822063653,0.4046386534894464
386,279,0.6313528636201703,0.6315368180983008
393,1094,0.5329940586783916,0.5328354269108738
394,2930,0.5124451093805351,0.5122596729340503
397,1178,0.585095044196441,0.5851885301209652
401,983,0.4053112564886893,0.4052956314194146
403,1698,0.42809332637550546,0.42811491813997143
404,3826,0.4919128028683705,0.4915930585159001
405,4081,0.5907710368632388,0.5908229505637967
406,533,0.41706289829749127,0.41713379232784054
413,184,0.4523739624511703,0.4523739624511703
417,3770,0.4101329720042867,0.4102330760291739
418,3732,0.5926305671831895,0.5925585132798936
419,3083,0.4925499377163746,0.4926116292787336
420,1936,0.5183594441736692,0.5183594441736692
426,4219,0.45205822831708947,0.45205822831708947
427,1385,0.4009027754506997,0.40092266112237174
428,3601,0.4650640578669431,0.4650640578669431
434,2917,0.6537053100865506,0.6538268681262914
441,3248,0.6540658155060497,0.6542116414884915
442,1350,0.4329066347899813,0.4330684223643207
445,2966,0.4839738576590568,0.48397946232425637
447,718,0.4148047390797862,0.4150123271245688
448,3162,0.6355087297214901,0.6353662962914709
449,3631,0.7229727340184733,0.72245193435034
452,1307,0.6023138047834811,0.6024664458085648
459,3593,0.6197624130085536,0.620052286264575
461,4038,0.5446063337151781,0.544587341311491
465,3506,0.521843722546877,0.5217703182385914
466,3,0.40404163859003644,0.40400625657507794
467,836,0.33608625721594276,0.3353312200121449
469,3024,0.42875638192267784,0.4290147079682598
487,3228,0.443271531921128,0.44329199561985777
488,463,0.4568551576401832,0.45708344020027836
497,1385,0.40092266112237174,0.40092266112237174
500,4132,0.5010187598320834,0.5011966155963159
502,3727,0.6405575663277394,0.6407634541097048
510,3631,0.7232279378772039,0.72245193435034
511,963,0.5350747035913291,0.5350747035913291
512,237,0.48637176463076004,0.48627205918749516
514,3732,0.5925585132798936,0.5925585132798936
526,2520,0.723753220983712,0.7244350201148684
527,3141,0.546186420849816,0.5461167857593919
531,3077,0.5719044618972344,0.5718716525173565
532,1724,0.4033898137020394,0.4034352667919118
534,1731,0.47324838094781935,0.47332529371090415
535,1903,0.4531634649533854,0.4530026682056147
536,3219,0.570773051227303,0.5707978531990677
540,1306,0.4062176025913629,0.40625910019501865
541,1150,0.44850158826924885,0.4478711431735845
542,1400,0.6327477192163641,0.632811876651081
543,895,0.3802799652051607,0.38010606808582237
544,3367,0.40766183129527117,0.40757749003905447
545,690,0.4227421191520927,0.4227421191520927
548,436,0.442709813566652,0.44250339556682305
549,4236,0.5870496921267164,0.5870496921267164
555,4286,0.40371782941564355,0.40371782941564355
556,8,0.38055665559003465,0.38075313988458137
557,350,0.4010757371475186,0.4010757371475186
559,1739,0.2852130775197319,0.2852686771648423
560,780,0.6186914360084155,0.6186925163140504
561,1891,0.3499351670336453,0.3500843796870332
564,1527,0.30312304263566986,0.30312304263566986
568,2522,0.5857799118933056,0.5857757803643584
569,3098,0.4113299568204446,0.4113034141110847
573,3913,0.5488083819642282,0.5484252173321289
580,1989,0.6639207820125153,0.663494053715289
585,1522,0.4224311131026008,0.4224311131026008
586,4358,0.609933789908987,0.6097821590100828
587,1259,0.5053591658294906,0.5050405559130452
598,537,0.5564307773097822,0.556239382390184
603,1673,0.6033055389770332,0.6034001985055762
605,668,0.4335016692396975,0.43350319561569606
606,4138,0.6366805848367827,0.6368279886243962
609,2709,0.4378383638958578,0.4377202267069712
610,76,0.5256007391321945,0.52551665647502
611,917,0.5339647645000851,0.5339647645000851
612,4336,0.5061572246366787,0.5061572246366787
613,4104,0.5930888920239996,0.5932201896076581
617,1609,0.592250752029931,0.592250752029931
619,1077,0.4078431001006978,0.4078425224341483
620,3373,0.5354108144713768,0.5354013899750194
622,4194,0.5135771879914803,0.5134195346432261
625,390,0.37598828460046235,0.37598828460046235
626,2501,0.6119127275326728,0.6117569108594745
627,640,0.5869077446815688,0.5868951905164854
630,1074,0.6306287584383871,0.6304802985039066
631,297,0.4604107497803444,0.46041827880877806
639,1572,0.5649317376296772,0.5649317376296772
641,1936,0.5183229973672018,0.5183594441736692
642,3711,0.5944220103099018,0.594268360632724
644,2840,0.5472015994763498,0.5470607851784931
645,1146,0.41108878855018,0.4109114051167214
647,367,0.24904094406337768,0.24440379424206213
648,3967,0.42936360528981804,0.42936360528981804
650,2688,0.595171529830597,0.5952897986399623
653,1004,0.39981937811094825,0.3998332951992765
658,1146,0.41090557367308045,0.4109114051167214
661,48,0.47960296780726325,0.47960296780726325
666,2515,0.6950106992670687,0.6975412695517049
670,944,0.3764937792374648,0.3764549307011958
672,1155,0.4236942026138214,0.4236942026138214
674,3720,0.4292247081845383,0.42936076031550674
677,3723,0.5683440726264035,0.5684522982367927
678,2242,0.5056793250531251,0.5056793250531251
680,3255,0.431559437017025,0.43153217767452007
681,2302,0.5896105081338374,0.5897490199267488
682,297,0.4604419946797769,0.46041827880877806
683,3144,0.6575678265708366,0.6577013568285157
685,1287,0.2829940158765499,0.2828647225131205
691,758,0.6077639866653968,0.6075652924929877
692,4241,0.2666199377786689,0.26648037582596396
694,676,0.5139559100518585,0.5139559100518585
695,27,0.41395344415991003,0.41420235953423035
696,3897,0.49551941883454803,0.4957052174656072
697,738,0.562203085619522,0.5621903407231806
700,4078,0.7246542481973535,0.7246233905326169
701,4014,0.635584878754416,0.6356709786591066
702,1497,0.42684841089229253,0.42684841089229253
703,589,0.6289764744145292,0.6291251831264767
704,3800,0.6185240920510665,0.6186407827993781
705,3639,0.679887417556544,0.6801647536503409
710,1426,0.5786307723025848,0.5786494434282814
711,163,0.4460709036689135,0.44601567979974627
713,1047,0.5344404945090738,0.5344404945090738
716,1170,0.37553982689054544,0.37553982689054544
721,601,0.4156789747963487,0.4155143363885286
722,3701,0.43835728554953685,0.4382607129918564
724,3129,0.5454451196469247,0.5453042186818557
727,1764,0.37417780410699536,0.37417780410699536
729,4236,0.5870496921267164,0.5870496921267164
730,1973,0.5873586438949244,0.5871097901585374
735,3677,0.4046358561734414,0.4046386534894464
737,130,0.48186839611841353,0.48186839611841353
739,1011,0.32716585938993203,0.32716585938993203
740,3732,0.5928662019233932,0.5925585132798936
746,1837,0.4576992388386327,0.4577043348978396
747,91,0.425738662486117,0.425738662486117
749,1048,0.45866288230724794,0.45863319873923886
751,917,0.5338061740573902,0.5339647645000851
762,4082,0.40527717367291544,0.40527136717913753
763,917,0.5339756967379685,0.5339647645000851
765,440,0.33219778708444203,0.3321625892303889
768,214,0.5924046417167022,0.5924046417167022
770,4218,0.5077868637765265,0.5077856326665637
771,326,0.5435028789911241,0.5434398200640064
773,1645,0.35317969860951065,0.3529155498227874
776,1497,0.42684841089229253,0.42684841089229253
779,453,0.2712292043725335,0.27197004250845097
783,3601,0.46514259414504067,0.4650640578669431
784,878,0.4857944655863088,0.4857851068768334
786,637,0.33173861494149004,0.33173861494149004
787,597,0.4804174194313456,0.4804174194313456
