slug,name,type,tags,contributionsCount,totalFinancialContributors,country,flag,tag_community,tag_open source,tag_javascript,tag_other,tag_association,type_公益型,type_技术型,type_教育型,country_DE,country_FR,country_GB,country_Other,country_US,country_Unknown
keffiyeh-aid-project,Keffiyeh Aid Project,公益型,"food aid, clean water, water, refugee support, community, open source, emergency disaster relief, community kitchen, food justice, food security, mutual aid, gaza, save gaza, keffiyeh, project, human rights, humanitarian aid, humanity first, humanity",36,17,Unknown,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
algorithm-visualizer,algorithm-visualizer,技术型,open source,59,8,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
sfcommunitysupport,sf community support,公益型,"california, covid, covid-19, mutual aid, resource, san francisco, usa, western usa",32,16,US,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
swarmpit,Swarmpit,技术型,,44,8,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
otree,oTree,技术型,,24,1,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
futurecoder,futurecoder,教育型,"open source, python, education",25,8,Unknown,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
librepcb,LibrePCB,技术型,open source,23,4,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
reqnroll,Reqnroll,技术型,"open source, bdd-framework, bdd, dotnet, cucumber",24,4,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
peoplescarewatchdog,People's Care Watchdog,公益型,,55,8,GB,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
bsidesphilly,BSidesPhilly 2024,技术型,"cybersecurity, conference, security, community",29,29,US,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
mue,Mue,技术型,"open source, new-tab, fast, privacy, backgrounds, react, javascript",25,1,GB,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0
lexington-tool-library,Lexington Tool Library,公益型,"library of things, community, tool library, mutual aid",23,9,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
spire,Spire,技术型,community,48,3,Other,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
ypc-support-fund,YPC Support Fund,公益型,"movement, youth power, intergenerational, community",1,1,Unknown,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
geengascentraleintessenderlo,Geen tweede gascentrale in Tessenderlo,公益型,"community, geentweedegascentrale, tegengas, tessenderlo, leefbaarheid, milieu",29,27,Other,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
solidarityfundnk,Solidarity Fund for Natalie Knight,公益型,,32,31,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
games-on-whales,Games on Whales,技术型,"open source, rust, c++, streaming, videogames, docker",25,15,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
greenspell,Greenspell Organization,公益型,"holistic health, community wellness, herbal medicine, herbalism, community education, ecological education, free clinic, community",32,32,US,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
chrome-react-ai,React and GenAI,技术型,"other, open source",32,8,Unknown,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
wwcodesantiago,WWCode Santiago,技术型,"wwcode, meetup, diversity in tech",18,2,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
tech-pizza-mondays,Tech Pizza Mondays,技术型,"community, pizza, toronto, tech, technology, foss, floss, free",26,4,Other,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
paris-typescript,Paris Typescript,技术型,"javascript-libraries, programming-languages, newtech, javascript-applications, computer-programming, javascript, web, web-development, javascript-frameworks, angularjs, typescript, meetup",47,9,FR,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
simplcommerce,SimplCommerce,技术型,"angularjs, aspnetcore, cross-platform, csharp, dotnetcore, ecommerce, entity-framework-core, modular, netcore, shopping-cart, open source",45,6,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
frome-pride,Frome Pride,公益型,"pride, lgbtq, lgbtq+, somerset, social impact, social movement, meetups, lgbtq+ equality, lgbtq owned, movement, lgbtqia+, lgbt inclusivity, social justice, awareness",14,18,GB,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
rhash,RHash,技术型,open source,28,2,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
wewrite-app,WeWrite App,技术型,"app, writing, wiki, app development, rust-lang, ios-app, community",45,7,Unknown,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
climate-alarm,Help Climate Activists to go to COP,公益型,,39,4,Unknown,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
bcma,Belmont-Cragin Mutual Aid,公益型,"chicago, community, illinois, midwestern usa, mutual aid, usa",28,3,US,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
flutter_easy_localization,Easy Localization,技术型,"flutter, flutter-apps, globalization, i18, i18n, i18n-alternative, internationalization, json, json-files, json-localization, locale, locale-gen, locales, locales-translation, localization, localization-kit, localization-tool, localization-using-json-files, translated-keys, translation, open source",36,4,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
family-dmitriev,Семья Дмитриевых,公益型,community,19,3,Other,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
iplug2,iPlug2 Developers,技术型,"open source, audio, plug-ins, vst, audiounit, webassembly",30,2,DE,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
open-chemistry,Open Chemistry,技术型,"open source, science, association, hacktoberfest, chemistry",37,10,Unknown,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1
eslint-plugin-import,eslint-plugin-import,技术型,open source,49,5,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
tlc,Trans Liberation Cambridge,公益型,"transgender, trans, queer, lgbtq, community",25,17,GB,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
news-android,News,技术型,open source,28,3,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
entropic,entropic,技术型,,44,6,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
world-ia-day-new-york-city,World IA Day New York City,技术型,coop,47,10,Unknown,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
respec,respec,技术型,"javascript, pre-processor, respec, w3c, w3c-specification, web-standards, open source",43,9,Unknown,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
sepheocoop,Sepheo Co-op,技术型,"association, mutual-aid, freelancing, uk, community",45,12,GB,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
googlecl,GoogleCL,技术型,open source,30,1,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
joomla-cms,The Joomla! Project,技术型,open source,30,3,US,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
eruda,eruda,技术型,"console, debugger, developer-tools, eruda, mobile, open source",22,13,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
fff-mexico,Fridays For Future Mexico,公益型,"climate, climate justice, climate activism, fridays for future, climate crisis, system change, intersectionality, environment",12,10,Other,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
rete,Rete.js,技术型,"javascript, visual programming, programming, open source",31,9,Other,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
sinytra,Sinytra,技术型,"open source, java, minecraft, modding",21,8,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
5wc24,5 Digit World Cup 2024,技术型,community,31,25,Unknown,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
wordpress-sf,WordPress SFO,技术型,"wordpresss, tech, web development, san francisco, meetups",47,6,Unknown,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
openscapes,Openscapes,教育型,"climate, education, environment, mentoring",3,3,Unknown,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
sceneview,Sceneview,技术型,open source,15,15,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
wbds-la,WBDS LA,教育型,"artifical intelligence, civic tech, community, conference, data science, latin america, networking, online, research, workshops",6,6,Unknown,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
kube-hetzner,Kube Hetzner,技术型,open source,32,3,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
the-mycelium-network,The Mycelium Network,技术型,"open source, community, education",27,2,Other,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
a-city-for-peoplenz,A City for People,公益型,"housing, community",18,18,Other,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
mastodoneducation,Mastodon.education,教育型,"education, movement, open source, other, community",36,2,Other,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0
openinput,openinput,技术型,,28,3,Other,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
universal-router,Universal Router,技术型,open source,24,4,Unknown,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
chaoss-africa,CHAOSS Africa,公益型,"civic tech, global, health, linux, online, open source",6,7,Unknown,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
centrifugal,Centrifugal,技术型,open source,33,7,Unknown,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
101s,101s,技术型,"community, activism, engagement, conflict management",20,7,Other,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
mobx-react-form,mobx-react-form,技术型,"form, mobx, observables, react, reactive, state, validation, javascript",22,4,Unknown,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
vignette,Vignette,技术型,"open source, virtual-streaming, vtuber, face-tracking, ai",23,7,Other,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
artistideal,ArtistIdeal,技术型,"association, arts and culture, community",16,6,Other,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
